year,early,election_day,mail,total,pct_early,pct_election_day,pct_mail
2018,659669,1482029,162814,2304512,0.2862510587924906,0.6430988426183071,0.0706500985892024
2020,983985,437126,1502986,3037030,0.3239958116976125,0.1439320652084438,0.49488678083522386
2022,378551,1037176,338748,1754475,0.2157631200216589,0.5911603186138303,0.19307656136451076
